coin_code,jurisdiction,status
skl,omn,draft
mana,omn,draft
pax,omn,draft
reef,kwt,draft
skl,kwt,draft
mana,kwt,draft
pax,kwt,draft
reef,tur,draft
skl,tur,draft
mana,tur,draft
pax,tur,draft
reef,pk,archived
skl,pk,archived
mana,pk,archived
pax,pk,archived
